Date,Type,SMP
20111003,최대,120.67
20111004,최대,135.83
20111005,최대,147.39
20111006,최대,125.22
20111007,최대,145.53
20111008,최대,129.98
20111009,최대,119.58
20111010,최대,150.42
20111011,최대,214.46
20111012,최대,136.35
20111013,최대,138.85
20111014,최대,147.0
20111015,최대,120.51
20111016,최대,119.7
20111017,최대,134.46
20111018,최대,226.1
20111019,최대,132.87
20111020,최대,135.52
20111021,최대,137.39
20111022,최대,120.61
20111023,최대,122.5
20111024,최대,150.18
20111025,최대,128.94
20111026,최대,223.6
20111027,최대,149.94
20111028,최대,147.55
20111029,최대,236.67
20111030,최대,220.24
20111031,최대,129.68
20111101,최대,146.85
20111102,최대,155.25
20111103,최대,149.06
20111104,최대,149.23
20111105,최대,141.49
20111106,최대,141.53
20111107,최대,148.46
20111108,최대,148.76
20111109,최대,237.46
20111110,최대,159.58
20111111,최대,146.48
20111112,최대,135.58
20111113,최대,135.95
20111114,최대,144.43
20111115,최대,143.31
20111116,최대,148.05
20111117,최대,146.65
20111118,최대,164.47
20111119,최대,134.41
20111120,최대,134.1
20111121,최대,143.66
20111122,최대,160.15
20111123,최대,158.02
20111124,최대,158.05
20111125,최대,230.27
20111126,최대,145.66
20111127,최대,134.18
20111128,최대,225.55
20111129,최대,180.16
20111130,최대,154.7
20111201,최대,152.71
20111202,최대,155.84
20111203,최대,143.31
20111204,최대,234.15
20111205,최대,150.9
20111206,최대,156.61
20111207,최대,157.3
20111208,최대,158.84
20111209,최대,164.17
20111210,최대,150.75
20111211,최대,134.37
20111212,최대,159.36
20111213,최대,156.3
20111214,최대,157.56
20111215,최대,244.84
20111216,최대,201.12
20111217,최대,148.92
20111218,최대,136.79
20111219,최대,156.74
20111220,최대,159.57
20111221,최대,174.56
20111222,최대,236.51
20111223,최대,159.42
20111224,최대,148.54
20111225,최대,136.13
20111226,최대,168.0
20111227,최대,160.1
20111228,최대,155.52
20111229,최대,162.25
20111230,최대,162.25
20111231,최대,135.48
20120101,최대,133.94
20120102,최대,159.74
20120103,최대,170.63
20120104,최대,175.33
20120105,최대,170.72
20120106,최대,176.91
20120107,최대,143.7
20120108,최대,138.2
20120109,최대,182.42
20120110,최대,180.4
20120111,최대,182.26
20120112,최대,175.33
20120113,최대,185.35
20120114,최대,151.78
20120115,최대,137.86
20120116,최대,177.12
20120117,최대,171.01
20120118,최대,177.24
20120119,최대,170.86
20120120,최대,151.64
20120121,최대,137.89
20120122,최대,137.47
20120123,최대,138.35
20120124,최대,137.1
20120125,최대,140.49
20120126,최대,169.11
20120127,최대,161.89
20120128,최대,156.1
20120129,최대,139.3
20120130,최대,177.64
20120131,최대,183.36
20120201,최대,206.71
20120202,최대,215.67
20120203,최대,205.34
20120204,최대,156.71
20120205,최대,135.27
20120206,최대,158.06
20120207,최대,246.98
20120208,최대,281.76
20120209,최대,218.47
20120210,최대,210.46
20120211,최대,175.25
20120212,최대,141.44
20120213,최대,188.23
20120214,최대,175.21
20120215,최대,204.43
20120216,최대,189.91
20120217,최대,177.13
20120218,최대,159.86
20120219,최대,137.25
20120220,최대,162.49
20120221,최대,162.8
20120222,최대,164.78
20120223,최대,172.25
20120224,최대,171.17
20120225,최대,160.67
20120226,최대,151.02
20120227,최대,239.67
20120228,최대,162.8
20120229,최대,156.67
20120301,최대,158.43
20120302,최대,221.33
20120303,최대,169.83
20120304,최대,149.85
20120305,최대,225.33
20120306,최대,221.71
20120307,최대,250.53
20120308,최대,210.57
20120309,최대,228.41
20120310,최대,186.52
20120311,최대,157.58
20120312,최대,221.2
20120313,최대,220.16
20120314,최대,216.61
20120315,최대,213.84
20120316,최대,234.37
20120317,최대,207.48
20120318,최대,169.18
20120319,최대,244.88
20120320,최대,218.75
20120321,최대,213.97
20120322,최대,262.23
20120323,최대,216.77
20120324,최대,207.27
20120325,최대,157.99
20120326,최대,208.48
20120327,최대,206.69
20120328,최대,194.76
20120329,최대,206.19
20120330,최대,213.07
20120331,최대,175.24
20120401,최대,149.63
20120402,최대,158.53
20120403,최대,240.15
20120404,최대,192.62
20120405,최대,200.88
20120406,최대,200.57
20120407,최대,173.92
20120408,최대,158.86
20120409,최대,201.21
20120410,최대,192.39
20120411,최대,162.44
20120412,최대,159.13
20120413,최대,195.81
20120414,최대,164.39
20120415,최대,137.88
20120416,최대,158.81
20120417,최대,195.67
20120418,최대,197.31
20120419,최대,176.5
20120420,최대,178.76
20120421,최대,180.85
20120422,최대,149.33
20120423,최대,156.87
20120424,최대,157.19
20120425,최대,194.02
20120426,최대,186.26
20120427,최대,162.91
20120428,최대,150.72
20120429,최대,138.13
20120430,최대,158.72
20120501,최대,167.79
20120502,최대,175.69
20120503,최대,176.68
20120504,최대,195.41
20120505,최대,166.15
20120506,최대,162.76
20120507,최대,170.35
20120508,최대,197.54
20120509,최대,190.47
20120510,최대,197.98
20120511,최대,172.11
20120512,최대,164.16
20120513,최대,145.99
20120514,최대,195.87
20120515,최대,174.33
20120516,최대,179.62
20120517,최대,173.6
20120518,최대,174.55
20120519,최대,177.93
20120520,최대,146.92
20120521,최대,262.98
20120522,최대,260.03
20120523,최대,220.33
20120524,최대,193.67
20120525,최대,190.68
20120526,최대,173.67
20120527,최대,155.75
20120528,최대,170.54
20120529,최대,219.21
20120530,최대,236.96
20120531,최대,221.81
20120601,최대,200.46
20120602,최대,186.95
20120603,최대,151.87
20120604,최대,181.7
20120605,최대,199.72
20120606,최대,166.68
20120607,최대,223.12
20120608,최대,220.38
20120609,최대,179.56
20120610,최대,155.07
20120611,최대,220.13
20120612,최대,215.83
20120613,최대,200.12
20120614,최대,218.56
20120615,최대,216.45
20120616,최대,172.77
20120617,최대,155.42
20120618,최대,218.35
20120619,최대,189.91
20120620,최대,218.61
20120621,최대,219.1
20120622,최대,220.51
20120623,최대,174.09
20120624,최대,162.43
20120625,최대,221.01
20120626,최대,220.53
20120627,최대,220.49
20120628,최대,219.48
20120629,최대,229.42
20120630,최대,182.68
20120701,최대,181.09
20120702,최대,216.41
20120703,최대,216.15
20120704,최대,214.44
20120705,최대,214.79
20120706,최대,214.87
20120707,최대,185.25
20120708,최대,165.85
20120709,최대,216.0
20120710,최대,218.38
20120711,최대,219.18
20120712,최대,212.87
20120713,최대,215.45
20120714,최대,187.39
20120715,최대,166.1
20120716,최대,216.28
20120717,최대,216.56
20120718,최대,202.09
20120719,최대,202.88
20120720,최대,202.88
20120721,최대,185.04
20120722,최대,169.18
20120723,최대,193.15
20120724,최대,192.32
20120725,최대,217.57
20120726,최대,228.13
20120727,최대,230.32
20120728,최대,193.33
20120729,최대,180.25
20120730,최대,238.61
20120731,최대,211.31
20120801,최대,213.35
20120802,최대,210.95
20120803,최대,244.75
20120804,최대,169.34
20120805,최대,152.54
20120806,최대,177.86
20120807,최대,173.73
20120808,최대,202.58
20120809,최대,214.89
20120810,최대,212.87
20120811,최대,178.64
20120812,최대,153.83
20120813,최대,193.63
20120814,최대,171.93
20120815,최대,172.12
20120816,최대,169.58
20120817,최대,174.0
20120818,최대,151.15
20120819,최대,148.9
20120820,최대,175.42
20120821,최대,200.64
20120822,최대,175.9
20120823,최대,173.71
20120824,최대,172.1
20120825,최대,151.48
20120826,최대,151.97
20120827,최대,178.09
20120828,최대,170.24
20120829,최대,178.21
20120830,최대,175.26
20120831,최대,161.99
20120901,최대,141.08
20120902,최대,145.1
20120903,최대,167.07
20120904,최대,160.59
20120905,최대,158.31
20120906,최대,157.28
20120907,최대,140.73
20120908,최대,139.49
20120909,최대,136.13
20120910,최대,158.34
20120911,최대,153.47
20120912,최대,140.66
20120913,최대,141.13
20120914,최대,140.22
20120915,최대,143.09
20120916,최대,137.62
20120917,최대,140.27
20120918,최대,151.27
20120919,최대,139.55
20120920,최대,141.13
20120921,최대,140.04
20120922,최대,139.96
20120923,최대,143.92
20120924,최대,158.55
20120925,최대,158.67
20120926,최대,153.3
20120927,최대,156.61
20120928,최대,139.94
20120929,최대,131.02
20120930,최대,71.0
20121001,최대,55.69
20121002,최대,133.25
20121003,최대,168.73
20121004,최대,161.08
20121005,최대,176.54
20121006,최대,153.45
20121007,최대,132.94
20121008,최대,201.09
20121009,최대,159.28
20121010,최대,190.93
20121011,최대,176.15
20121012,최대,174.38
20121013,최대,154.87
20121014,최대,153.06
20121015,최대,202.08
20121016,최대,156.68
20121017,최대,183.63
20121018,최대,197.39
20121019,최대,175.12
20121020,최대,141.72
20121021,최대,131.94
20121022,최대,158.99
20121023,최대,159.47
20121024,최대,156.7
20121025,최대,227.9
20121026,최대,154.87
20121027,최대,166.5
20121028,최대,136.98
20121029,최대,199.35
20121030,최대,239.54
20121031,최대,205.54
20121101,최대,170.7
20121102,최대,137.79
20121103,최대,124.13
20121104,최대,118.87
20121105,최대,141.57
20121106,최대,137.96
20121107,최대,181.25
20121108,최대,139.16
20121109,최대,154.77
20121110,최대,135.32
20121111,최대,122.65
20121112,최대,139.39
20121113,최대,179.27
20121114,최대,181.07
20121115,최대,154.4
20121116,최대,174.04
20121117,최대,147.9
20121118,최대,118.34
20121119,최대,141.16
20121120,최대,184.28
20121121,최대,174.65
20121122,최대,169.53
20121123,최대,180.73
20121124,최대,146.95
20121125,최대,122.08
20121126,최대,154.4
20121127,최대,140.49
20121128,최대,139.88
20121129,최대,141.6
20121130,최대,154.82
20121201,최대,160.69
20121202,최대,136.57
20121203,최대,193.47
20121204,최대,187.33
20121205,최대,179.67
20121206,최대,207.37
20121207,최대,214.89
20121208,최대,171.82
20121209,최대,135.41
20121210,최대,215.73
20121211,최대,203.43
20121212,최대,201.57
20121213,최대,199.8
20121214,최대,218.9
20121215,최대,164.67
20121216,최대,133.84
20121217,최대,200.73
20121218,최대,249.92
20121219,최대,237.89
20121220,최대,206.96
20121221,최대,199.32
20121222,최대,163.54
20121223,최대,153.41
20121224,최대,236.44
20121225,최대,141.41
20121226,최대,276.42
20121227,최대,231.98
20121228,최대,202.05
20121229,최대,208.69
20121230,최대,153.1
20121231,최대,145.97
20130101,최대,148.11
20130102,최대,185.54
20130103,최대,185.54
20130104,최대,181.53
20130105,최대,138.23
20130106,최대,138.3
20130107,최대,177.01
20130108,최대,176.35
20130109,최대,206.6
20130110,최대,207.59
20130111,최대,177.15
20130112,최대,153.48
20130113,최대,148.25
20130114,최대,165.64
20130115,최대,193.91
20130116,최대,165.64
20130117,최대,165.64
