Date,Last,Open,High,Low,Variation
2020.03.14,1211.78,1211.21,1226.75,1205.25,0.05
2020.03.15,1211.78,1211.21,1226.75,1205.25,0.05
2020.03.16,1232.87,1212.1,1233.58,1209.23,1.74
2020.03.17,1239.76,1232.41,1246.8,1231.93,0.56
2020.03.18,1256.5,1239.76,1269.15,1231.6,1.35
2020.03.19,1258.36,1256.5,1292.93,1247.45,0.15
2020.03.20,1254.95,1258.36,1264.6,1237.22,-0.27
2020.03.21,1254.95,1258.36,1264.6,1237.22,-0.27
2020.03.22,1254.95,1258.36,1264.6,1237.22,-0.27
2020.03.23,1273.0,1254.85,1283.05,1254.4,1.44
2020.03.24,1234.21,1273.0,1273.04,1232.9,-3.05
2020.03.25,1233.0,1234.21,1239.08,1226.07,-0.1
2020.03.26,1213.4,1233.0,1235.43,1212.48,-1.59
2020.03.27,1212.73,1213.4,1227.29,1205.31,-0.06
2020.03.28,1212.73,1213.4,1227.29,1205.31,-0.06
2020.03.29,1212.73,1213.4,1227.29,1205.31,-0.06
2020.03.30,1224.71,1212.73,1227.21,1212.18,0.99
2020.03.31,1218.8,1224.71,1225.21,1214.28,-0.48
2020.04.01,1236.7,1218.8,1239.27,1216.8,1.47
2020.04.02,1227.85,1236.7,1243.29,1225.56,-0.72
2020.04.03,1236.61,1227.85,1240.65,1224.18,0.71
2020.04.04,1236.61,1227.85,1240.65,1224.18,0.71
2020.04.05,1236.61,1227.85,1240.65,1224.18,0.71
2020.04.06,1224.64,1236.42,1239.51,1223.58,-0.97
2020.04.07,1215.43,1224.64,1225.56,1208.79,-0.75
2020.04.08,1216.26,1215.43,1223.19,1214.09,0.07
2020.04.09,1211.08,1216.26,1222.36,1208.67,-0.43
2020.04.10,1211.55,1211.11,1216.1,1206.64,0.04
2020.04.11,1211.55,1211.11,1216.1,1206.64,0.04
2020.04.12,1211.55,1211.11,1216.1,1206.64,0.04
2020.04.13,1215.96,1212.04,1221.7,1211.59,0.36
2020.04.14,1212.5,1215.97,1219.45,1211.31,-0.28
2020.04.15,1224.72,1212.5,1225.77,1209.61,1.01
2020.04.16,1228.98,1224.72,1230.53,1222.94,0.35
2020.04.17,1216.24,1228.98,1229.45,1213.95,-1.04
2020.04.18,1216.24,1228.98,1229.45,1213.95,-1.04
2020.04.19,1216.24,1228.98,1229.45,1213.95,-1.04
2020.04.20,1220.62,1216.26,1222.63,1214.71,0.36
2020.04.21,1233.56,1220.62,1241.82,1220.12,1.06
2020.04.22,1234.05,1233.53,1237.91,1229.92,0.04
2020.04.23,1233.54,1234.05,1237.23,1227.72,-0.04
2020.04.24,1230.62,1233.54,1238.24,1229.93,-0.24
2020.04.25,1230.62,1233.54,1238.24,1229.93,-0.24
2020.04.26,1230.62,1233.54,1238.24,1229.93,-0.24
2020.04.27,1222.45,1230.5,1235.1,1220.81,-0.66
2020.04.28,1221.81,1222.64,1227.95,1216.86,-0.05
2020.04.29,1211.1,1221.81,1223.45,1210.42,-0.88
2020.04.30,1213.94,1211.1,1215.69,1203.52,0.23
2020.05.01,1224.93,1213.94,1225.87,1213.1,0.91
2020.05.02,1224.93,1213.94,1225.87,1213.1,0.91
2020.05.03,1224.93,1213.94,1225.87,1213.1,0.91
2020.05.04,1224.18,1224.8,1230.53,1223.36,-0.06
2020.05.05,1222.57,1224.18,1224.82,1218.2,-0.13
2020.05.06,1229.55,1222.57,1230.03,1220.57,0.57
2020.05.07,1220.11,1229.6,1230.06,1217.08,-0.77
